Subj,Number,Course Title,,
CSE,101,Introduction to Computers,,
CSE,101,Introduction to Computers,,
CSE,114,Intro to Object-Oriented Prog,,
CSE,114,Intro to Object-Oriented Prog,,
CSE,190,Special Topics in CS Practice,,
CSE,191,Special Topics in CS Practice,,
CSE,192,Special Topics in CS Practice,,
CSE,214,Data Structures,,
CSE,214,Data Structures,,
CSE,215,Foundations of Comp Science,,
CSE,215,Foundations of Comp Science,,
CSE,312,Legal Issues in Info Systems,,
CSE,334,Intro to Multimedia Systems,,
CSE,346,Computer Communications,,
CSE,351,Introduction to Data Science,,
ISE,305,Database Design and Practice,,
ISE,312,Legal Issues in Info Systems,,
ISE,334,Intro to Multimedia Systems,,
ISE,340,Design of Computer Games,,
ISE,503,Data Management,,
